detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,L_YOUR_PRON,news,0.5683630667463093,2.0429848491774112e-05,True
microsoft/deberta-v3-small,L_YOUR_PRON,reviews,-0.5724507669867216,1.7255757340570265e-05,True
microsoft/deberta-v3-small,L_YOUR_PRON,qa,-0.2655407435541809,0.06517437596630411,False
microsoft/deberta-v3-small,L_HIS_PRON,abstracts,0.06759660098328832,0.6444474499348974,False
microsoft/deberta-v3-small,L_HIS_PRON,news,0.273109021232147,0.05760639613562788,False
microsoft/deberta-v3-small,L_HIS_PRON,reviews,0.07893297164882823,0.5898113594567281,False
microsoft/deberta-v3-small,L_HIS_PRON,qa,-0.32467698190648014,0.022839020712341757,True
microsoft/deberta-v3-small,L_HER_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_HER_PRON,news,0.3059921881800712,0.03249792314736928,True
microsoft/deberta-v3-small,L_HER_PRON,reviews,-0.048488848000118094,0.7407544898895153,False
microsoft/deberta-v3-small,L_HER_PRON,qa,-0.14775998402558496,0.31096763177930054,False
microsoft/deberta-v3-small,L_ITS_PRON,abstracts,0.36995931510950175,0.008885859105643153,True
microsoft/deberta-v3-small,L_ITS_PRON,news,0.2238529743550418,0.12205283313421818,False
microsoft/deberta-v3-small,L_ITS_PRON,reviews,-0.6335439739240337,1.0292512232860767e-06,True
microsoft/deberta-v3-small,L_ITS_PRON,qa,-0.39222910983481657,0.005313605983712144,True
microsoft/deberta-v3-small,L_OUR_PRON,abstracts,0.11507267308791849,0.43108582817971436,False
microsoft/deberta-v3-small,L_OUR_PRON,news,0.2973929749122141,0.03796614522511129,True
microsoft/deberta-v3-small,L_OUR_PRON,reviews,-0.4638234425336154,0.0007888642206331411,True
microsoft/deberta-v3-small,L_OUR_PRON,qa,-0.5327328617214094,8.132152938597239e-05,True
microsoft/deberta-v3-small,L_THEIR_PRON,abstracts,0.32210218935516577,0.024005936119104093,True
microsoft/deberta-v3-small,L_THEIR_PRON,news,0.20985855222524458,0.14782441104272367,False
microsoft/deberta-v3-small,L_THEIR_PRON,reviews,-0.6427537945767731,6.373988909731926e-07,True
microsoft/deberta-v3-small,L_THEIR_PRON,qa,-0.5253248504741271,0.00010632956357851126,True
microsoft/deberta-v3-small,L_YOURS_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_YOURS_PRON,news,0.24239429226344467,0.09333021023492,False
microsoft/deberta-v3-small,L_YOURS_PRON,reviews,0.3778328508501491,0.007438064115354749,True
microsoft/deberta-v3-small,L_YOURS_PRON,qa,-0.37182721785386597,0.008522000938692409,True
microsoft/deberta-v3-small,L_THEIRS_PRON,abstracts,,,False
microsoft/deberta-v3-small,L_THEIRS_PRON,news,-0.480728591903783,0.0004719089051636568,True
microsoft/deberta-v3-small,L_THEIRS_PRON,reviews,-0.2676909592799501,0.06294778597579627,False
microsoft/deberta-v3-small,L_THEIRS_PRON,qa,0.28544271334894744,0.04680139227066581,True
