feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,POS_NUM,0.08126285399423716,0.09748725202505691,0.11039535136627235,0.07637476093493863,0.08379522254442764,0.06051511112069196
,POS_PREP,-0.03915441462228782,-0.1446378134362482,0.10818262282929435,-0.05445234382637274,-0.13328964686439856,0.19416708728744445
,POS_PRO,0.03745689547035705,0.1994026768552838,-0.029691028637232116,0.05113340192880726,0.30444881810366325,0.01616677928605788
,G_PASSIVE,0.04924192911214892,0.17843880080622052,0.2733322431874407,0.029319186484813544,0.18986485169885892,0.2467591635856122
,G_ACTIVE,0.06419383217779957,0.302598460257749,-0.014507578151003658,0.0638741156349295,0.3891763314429194,0.01374746628944903
,G_PRESENT,0.09085556018482013,0.27689869430276903,0.07666200347568936,0.1012206019276328,0.3499969704290862,0.13076558939766664
,G_PAST,0.025916749625574366,0.2814126766755921,0.0558864627763589,0.0056693538187634895,0.3425099090802065,0.052094868733918095
,G_FUTURE,0.0891838094234142,0.1805397383137838,-0.10804056049131715,0.08130643965844427,0.21992005511364715,-0.066731281880662
,L_CONT_A,-0.020515817118906852,-0.2688325949433743,-0.03659611924678994,-0.022605909160352156,-0.35321209656056674,-0.1058621629112215
,L_FUNC_A,0.012338117379395726,0.2656859780532472,0.05775049284739289,0.021980270294247265,0.35884495284404677,0.12703330404524696
,L_CONT_T,-0.04982945193959619,-0.25654945422666314,-0.21611125541796278,-0.04965563825277439,-0.3030639512123727,-0.25477475219715257
,L_FUNC_T,0.0015732900230889942,-0.13093143123929946,0.08426018609780254,0.0005326873764428396,-0.09339270928844987,0.15275895256434743
,L_PROPER_NAME,0.022424927173071096,0.09782889383859683,0.07692890847431315,0.01426313567256384,0.06283703812678028,0.0036268170812152212
,L_PERSONAL_NAME,0.06543782060953132,0.22385161869386877,-0.011261668974191563,0.05053548584889824,0.20036270147076352,-0.09281423107363888
,L_POSSESSIVES,0.04043722594138503,0.017209408128537447,0.1330564467333,0.06269612917459236,0.021129796164983075,0.17214359032899096
