feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,L_OURS_PRON,0.1704289996364551,0.10123679323940012,0.3365875894486273,0.26537746655169175,0.11860891530267936,0.6136003830789569
,L_MYSELF_PRON,0.9920013753721326,0.21997349879622977,0.1962498730853605,0.9322978912606238,0.11639937678977669,0.4475042962679989
,L_YOURSELF_PRON,0.029426396522264243,0.5487144678834583,0.04431109752041066,0.0042891280512829325,0.21279647506711272,0.18657659176033262
,L_HIMSELF_PRON,0.8259143274518863,0.014756453062952118,0.7966284382257212,0.5871379324839043,0.009103292261633882,0.9238270846730688
,L_HERSELF_PRON,0.3163106110714958,0.005491434764684678,0.4205703652489372,0.3941593289546095,0.005547229269585593,0.6571551893103247
,L_ITSELF_PRON,0.5321431447207075,0.2552620280488784,0.12518054703609485,0.2500559414278556,0.5300275634532421,0.12712219324926904
,L_OURSELVES_PRON,0.33730392666546627,0.017320209546231074,0.3238099870201683,0.6318080297847833,0.0004464682632938978,0.36197333206936455
,L_YOURSELVES_PRON,0.23095069411183344,0.06883903050780422,0.08285876767725629,0.17735878571620478,0.02346221466981878,0.2579478245580526
,L_THEMSELVES_PRON,0.10658705813405499,4.849402794696625e-05,0.8886480779192785,0.010193489054392548,6.0444315219672654e-06,0.778375635990358
,L_FIRST_PERSON_SING_PRON,0.33081018170632004,0.009268264366140297,0.42952565071359405,0.1724873154600271,0.0006179934926590675,0.6112313707476582
,L_SECOND_PERSON_PRON,0.17079691079984102,0.4508011716129562,0.924308524409515,0.3368528705063697,0.908032880913817,0.741038014043745
,L_THIRD_PERSON_SING_PRON,0.9137936927363681,0.005738275110365348,0.20001974123504063,0.8040463866887877,0.00015649983576729816,0.1552293099213553
,L_THIRD_PERSON_PLURAL_PRON,0.9197892821954964,0.6968731144917697,0.13827860497286726,0.9196896019828731,0.4620257604591751,0.05642982505426756
,VF_INFINITIVE,0.3143952336426074,0.032234850359964186,0.8788319327728467,0.5220469636985495,0.0009566324257253424,0.6704492633587562
